name,inventory_id,meal_type,description,price_small,price_med,price_large
The Original Orange Chicken,entree,Our signature dish. Crispy chicken wok-tossed in a sweet and spicy orange sauce.,4.90,8.20,10.90
Black Pepper Angus Steak,premium entree,Angus steak wok-seared with green beans onions red bell peppers and mushrooms in a savory black pepper sauce.,6.15,10.70,14.65
Grilled Teriyaki Chicken,entree,Grilled chicken hand-sliced to order and served with teriyaki sauce.,4.90,8.20,10.90
Broccoli Beef,entree,A classic favorite. Tender beef and fresh broccoli in a ginger soy sauce.,4.90,8.20,10.90
Honey Walnut Shrimp,premium entree,Large tempura-battered shrimp wok-tossed in a honey sauce and topped with glazed walnuts.,6.15,10.70,14.65
Kung Pao Chicken,entree,A Szechwan-inspired dish with chicken peanuts and vegetables finished with chili peppers.,4.90,8.20,10.90
Beijing Beef,entree,Crispy beef bell peppers and onions in a sweet-tangy sauce.,4.90,8.20,10.90
Mushroom Chicken,entree,A delicate combination of chicken mushrooms and zucchini wok-tossed with a light ginger soy sauce.,4.90,8.20,10.90
SweetFire Chicken Breast,entree,Crispy white-meat chicken red bell peppers onions and pineapples in a bright and sweet chili sauce.,4.90,8.20,10.90
String Bean Chicken Breast,entree,string beans and onions wok-tossed in a mild ginger soy sauce.,4.90,8.20,10.90
Black Pepper Chicken,entree,Marinated chicken celery and onions in a bold black pepper sauce.,4.90,8.20,10.90
Chow Mein,side,Stir-fried wheat noodles with onions celery and cabbage.,,4.40,5.40
Fried Rice,side,Prepared steamed white rice with soy sauce eggs peas carrots and green onions.,,4.40,5.40
White Steamed Rice,side, The normal steamed white rice.,,4.40,5.40
Super Greens,side,A light and zesty blend of broccoli kale and cabbage.,,4.40,5.40
Brown Steamed Rice,side,Whole grain rice.,,4.40,5.40
Chicken Egg Roll,appetizer,Cabbage carrots mushrooms green onions and chicken in a crispy wonton wrapper.,2.00,,10.90
Veggie Spring Roll,appetizer,Cabbage celery carrots green onions and Chinese noodles in a crispy wonton wrapper.,2.00,,10.90
Fortune Cookies,appetizer,A small and hard golden cookies with a fortune in each one.,,,
Cream Cheese Rangoon,appetizer,Wonton wrappers filled with cream cheese and served with sweet and sour sauce.,2.00,,8.40
Drink,drink,Your choice of fountain drink.,2.10,2.30,2.50
